epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,667.16,0.78083,0.43368,0.92444,0.47566,0.6496,0.41954,0.34743,0.71225,0.39722,0.92498,0.000816759,0.000816759,0.000816759
43,682.682,0.77433,0.43175,0.92707,0.35084,0.63773,0.42416,0.35025,0.71695,0.39681,0.92537,0.000814509,0.000814509,0.000814509
44,698.196,0.77443,0.43091,0.92814,0.49829,0.62645,0.44196,0.36156,0.71484,0.3897,0.92584,0.00081226,0.00081226,0.00081226
45,726.029,0.77394,0.42378,0.92264,0.49579,0.60877,0.44081,0.3613,0.72949,0.40295,0.93206,0.00081001,0.00081001,0.00081001
46,741.573,0.77173,0.42616,0.92477,0.35302,0.61483,0.44608,0.36566,0.7157,0.39173,0.92309,0.00080776,0.00080776,0.00080776
47,757.258,0.76908,0.42226,0.92259,0.34025,0.67548,0.4502,0.3687,0.70674,0.37874,0.92031,0.00080551,0.00080551,0.00080551
48,773.063,0.77974,0.42299,0.92715,0.46559,0.67012,0.48899,0.4012,0.72492,0.395,0.92614,0.000803261,0.000803261,0.000803261
49,788.5,0.78095,0.42646,0.92494,0.36494,0.64924,0.45341,0.36937,0.71264,0.40471,0.92433,0.000801011,0.000801011,0.000801011
50,804.053,0.77605,0.42427,0.92224,0.35855,0.66387,0.46145,0.3804,0.70403,0.38941,0.92119,0.000798761,0.000798761,0.000798761
51,819.322,0.76074,0.41466,0.91917,0.41842,0.72653,0.47745,0.39312,0.7115,0.37831,0.92277,0.000796511,0.000796511,0.000796511
52,835.012,0.76603,0.41618,0.92135,0.41381,0.75084,0.47417,0.38979,0.71068,0.3839,0.9225,0.000794261,0.000794261,0.000794261
53,850.564,0.76241,0.41097,0.924,0.43631,0.6779,0.52282,0.43169,0.70318,0.37818,0.91966,0.000792012,0.000792012,0.000792012
54,866.228,0.7742,0.41765,0.92491,0.46548,0.6941,0.53516,0.44368,0.69864,0.37762,0.91996,0.000789762,0.000789762,0.000789762
55,881.901,0.77093,0.41547,0.92744,0.44768,0.72242,0.5057,0.41549,0.70282,0.38419,0.92047,0.000787512,0.000787512,0.000787512
56,897.391,0.76671,0.41378,0.91845,0.43386,0.72657,0.54,0.44412,0.70265,0.37531,0.91991,0.000785262,0.000785262,0.000785262
57,912.832,0.75473,0.40544,0.91962,0.47927,0.72661,0.55955,0.45652,0.71116,0.36768,0.92089,0.000783013,0.000783013,0.000783013
58,928.66,0.76226,0.4108,0.9204,0.47603,0.74415,0.58688,0.4811,0.71968,0.36831,0.92469,0.000780763,0.000780763,0.000780763
59,944.154,0.75702,0.40693,0.92245,0.432,0.7903,0.57931,0.47771,0.70705,0.37236,0.92038,0.000778513,0.000778513,0.000778513
60,961.359,0.75606,0.40692,0.91851,0.46173,0.81172,0.60154,0.4976,0.69943,0.36307,0.91761,0.000776263,0.000776263,0.000776263
61,977.032,0.75965,0.40432,0.91671,0.45087,0.77356,0.6002,0.49366,0.69309,0.36317,0.91534,0.000774013,0.000774013,0.000774013
62,992.642,0.7544,0.40165,0.91753,0.46702,0.7905,0.61512,0.50742,0.71689,0.36303,0.92366,0.000771764,0.000771764,0.000771764
63,1008.24,0.7552,0.40262,0.92081,0.48153,0.7587,0.613,0.50826,0.70378,0.36916,0.9193,0.000769514,0.000769514,0.000769514
